donor_blood_type,recipient_blood_type,compatible_for_rbc_transfusion,compatibility_level
O+,O+,1,ideal
O+,O-,0,incompatible
O+,A+,1,acceptable
O+,A-,0,incompatible
O+,B+,1,acceptable
O+,B-,0,incompatible
O+,AB+,1,acceptable
O+,AB-,0,incompatible
O-,O+,1,acceptable
O-,O-,1,ideal
O-,A+,1,acceptable
O-,A-,1,acceptable
O-,B+,1,acceptable
O-,B-,1,acceptable
O-,AB+,1,acceptable
O-,AB-,1,acceptable
A+,O+,0,incompatible
A+,O-,0,incompatible
A+,A+,1,ideal
A+,A-,0,incompatible
A+,B+,0,incompatible
A+,B-,0,incompatible
A+,AB+,1,acceptable
A+,AB-,0,incompatible
A-,O+,0,incompatible
A-,O-,0,incompatible
A-,A+,1,acceptable
A-,A-,1,ideal
A-,B+,0,incompatible
A-,B-,0,incompatible
A-,AB+,1,acceptable
A-,AB-,1,acceptable
B+,O+,0,incompatible
B+,O-,0,incompatible
B+,A+,0,incompatible
B+,A-,0,incompatible
B+,B+,1,ideal
B+,B-,0,incompatible
B+,AB+,1,acceptable
B+,AB-,0,incompatible
B-,O+,0,incompatible
B-,O-,0,incompatible
B-,A+,0,incompatible
B-,A-,0,incompatible
B-,B+,1,acceptable
B-,B-,1,ideal
B-,AB+,1,acceptable
B-,AB-,1,acceptable
AB+,O+,0,incompatible
AB+,O-,0,incompatible
AB+,A+,0,incompatible
AB+,A-,0,incompatible
AB+,B+,0,incompatible
AB+,B-,0,incompatible
AB+,AB+,1,ideal
AB+,AB-,0,incompatible
AB-,O+,0,incompatible
AB-,O-,0,incompatible
AB-,A+,0,incompatible
AB-,A-,0,incompatible
AB-,B+,0,incompatible
AB-,B-,0,incompatible
AB-,AB+,1,acceptable
AB-,AB-,1,ideal
